id,questions,category
153,어떻게 반품해야 돼요?,교환반품
154,네. 저기 슬립온만 사이즈 이백칠십으로 했으면 좋겠는데요?,상품
155,지금 방송 중인 벤치코트 주문해 주세요.,주문
156,먹는 음식은 오는 것만 정확하게 오면 반품 같은 거는 안하지 않습니까?,교환반품
157,농협으로 보내주실래요?,환불
158,방송하는 벤치코트 사려고요.,주문
159,이 카드는 안되요?,결제
160,카드 정보 등록이 뭐예요?,고객정보
161,"네, 사이즈는 백 사이즈 맞아요?",주문
162,지금 방송하는 시크릿 코인 주문요.,주문
163,어 제가 지금 자동 주문할려고 그랬는데요?,주문
164,"네, 주문을 다른 사이즈로 두개 할 거거든요.",주문
165,"네, 백 사이즈하고 백 오 사이즈 있나요?",상품
166,"네, 그러면 엠 사이즈 한 세트하고 엘 사이즈 한 세트로 주문해주세요.",주문
167,처음부터 다 불러야 돼요?,결제
168,언제 온다고요?,배송
169,잠시만요. 카드 번호 불러드릴게요.,결제
170,ㅇㅇㅇㅇ ㅇㅇㅇㅇ ㅇㅇㅇㅇ ㅇㅇㅇㅇ.,결제
171,지금 방송하는 거 살려고 하는데요.,주문
172,지금 방송하는거 주문하려고요.,주문
173,카드가 등록되어 있는지 모르겠네요.,결제
174,그러면 ㅇㅇㅇㅇ 맞나요?,결제
175,앞에 두 자리요?,고객정보
176, 지금 선전 나오는 거요. ,상품
177,바지 사려구요. ,주문
178,네 전에 했던 건 취소가 됐죠?,취소
179,ㅇㅇㅇㅇ에서 청바지 주문 좀 하려고요. ,주문
180,지금까지 잘 쓰고 있는데요.,결제
181, 여보세요? 지금 방송하고 있는 청바지 주문하려고 하는데요. ,주문
182, 삼십사 여자 거로 해주세요. ,주문
183,그러면 미리 고지를 했어야 하는 거 아닌가요? 주문할 때는 그런게 적혀 있지 않았는데 지금까지 기다리고 이제와서 이러면 어쩌라는 거에요?,불만접수
184,그때 기사님이 취소한다고 했는데 아직 취소가 안 됐나보네요?,취소
185,아니 문 앞에 두면 안 되지. 전화를 줘야지 이건 말도 안 되는 거죠.,불만접수
186,무슨 기사요? 무슨 문자가 오고 연락이 왔다는 거지 웃기네요. 상품도 없는데 이게 뭐에요.,불만접수
187,"음, 다른 색상은 있고요?",상품
188,아 그럼 새 상품은 맞죠?,상품
189,그러면 환불을 할 수 있을까요?,환불
190,"음, 블랙으로 해주세요.",교환반품
191,박스는 제가 버렸거든요?,포장
192,반품 처리가 되면 문자가 오나요?,교환반품
193,"네, 언제 오나요?",교환반품
194,결제 방법이 어떻게 돼있어요?,결제
195,무통장하고 카드하고 뭐 있죠?,결제
196,아 그러면 체크 카드 결제도 되나요?,결제
197,"네, 그럼 체크 카드 결제할게요. ",결제
198,그럼 일시불로 해주세요.,결제
199,네 주문하려고 그러는데요.,주문
200,아 그냥 무통장 입금으로 해주세요.,결제
201,내가 입금을 해야 한다는거죠? ,결제
202,블랙 백오 안 맞으면 취소 가능하죠?,교환반품
203,내가 십구만 오천원 결제했잖아요. 전체 취소 할 수 있냐고요?,취소
204,아 왜 그렇게 처리를 해가지고.,불만접수
205,그레이 하나하고 블랙 하나 이렇게 하면 가격은 똑같잖아요.,가격
206,그러니까 내 말은 십구만오천이백원을 일단 취소하고 두 개 두 개 다시 결제를 해야 되는 거 아니냐고요?,결제
207,그러면 십구만오천이백원 취소하고 두 개 두 개 결제가 안된다 이 말이죠?,결제
208,카드 취소가 안됐다고요. 다른 홈쇼핑은 바로 되던데.,취소
209,ㅇㅇㅇㅇ. 얼마 결제되는 거예요?,결제
210,지금 방송 나오는 거요.,상품
211,"아, 그러면 크림색이요.",상품
212,"네, 결제할 카드 찾았어요.",결제
213,지금 보고 있는 상품이 이천 십구년 상품이라고 돼있는 거 맞죠?,상품
214,회수할 때는 조금 전에 가르쳐 주신 안내 대로 하면 되는 건가요?,교환반품
215,반품을 경비실에 갖다 놓을까요?,교환반품
216, 아 네. 아들 이름으로 해도 되지요?,고객정보
217,네 사용한 거 맞아요.,상품
218,다시 보내주세요.,주문
219,그럼 오개월로 해주세요.,결제
220,물건은 언제 오나요?,배송
221,"네, 십개월 무이자로 할거에요.",결제
222,"네, 맞아요. 그러면 십육만 얼마가 나오는 거 같던데요.",결제
223,아 그럼 입금할게요.,결제
224,구매할 때는 사이즈가 있다고 했는데 없으면 주문을 받으면 안 되는거 아니에요?,불만접수
225,아 이거 좀 그렇잖아요.,불만접수
226,네. 만약에 물건이 입고되면 제 번호로 연락 주실 수 있나요?,연락요청
227,네. 미리 전화 주시나요?,배송
228, 지금 방송하는 청바지 주문 좀 하려고 그러는데요. ,주문
229,네. 그런데 제가 물건을 못 받았는데 어떻게 반품을 해요?,교환반품
230,에이알에스 할인으로 해 주신다는 거죠? ,주문
231,전체 교환은 언제까지 되는데요?,교환반품
232,그럼 무상 반품해 주세요.,교환반품
233,이거 지금 조립한 상태인데요. ,상품
234,음. 박스가 있는지 모르겠네요.,포장
235,네. 언제쯤 가지러 오시는 거예요?,배송
236,네 입고가 되어야 환불되는 거네요.,환불
237,환불 금액은 얼마인가요?,환불
238,그럼 그냥 부분 교환은 안된다는 거죠?,교환반품
239,그럼 반품 할게요.,교환반품
240,아 그런데 언제쯤 기사가 방문하는 건가요?,배송
241,저도 알아봤어요. 그렇게 해도 안 되던데요.,상품
242,"음, 그러면 반품으로 처리해 주세요.",교환반품
243,아 잠시만요. 반품은 알아서 처리해 주는거죠?,교환반품
244,"네, 배송 받은 신발이 작아서요.",상품
245,"네, 제가 이백삼십오로 주문을 했죠?",주문
246,"네, 그러면 이백사십으로 교환해 주세요.",교환반품
247,"아, 뭐 작은거나 큰 걸로 바꿀 수도 없는데 반품을 해야겠어요.",교환반품
248,안 했어요. 그런데 이백사십이 나올 가능성은 없나요?,상품
249,아니 그래도 그렇지. 매끄럽지도 않은 부분도 그렇고 아무리 여기저기 그렇게 자국이 남아 있으니 조금 그렇네요.,상품
250,"네, 그러면 그냥 하나 카드로 결제할게요.",결제
251,"네, 한 박스에 두개씩 들어 가지고 지금 여섯 박스가 맞나요?",상품
252,행사 카드가 뭐가 있어요?,결제
253,아 저 국민 카드 있어요.,결제
254,"네, 그럼 일시불로 할게요.",결제
255,그런데 그런 안내를 안 해주셨어요. 주문할 때 미리 안내해 주셔야 할 정보 같은데요?,주문
256,배송 안 되는 이유가 뭐예요?,배송
257,그 택배비 제가 내도 안 될까요?,배송
258,예 그럼 반품 접수하게 되면 내일 오나요?,교환반품
259,네 그런데 이거 교환이거든요?,교환반품
260,네 그렇죠. 그럼 십인용 이것도 십일 이후에 오는 거예요?,주문
261,그랬는데 내가 어제 보니까 상태가 많이 좋아졌더라고요.,교환반품
262,네 그런데 먼저 환불 처리가 됐으니까 삼만 구천 구백원을 휴대폰으로 계좌 번호 넣어준다고 입금하라고 하더라고요.,환불
263,예 그러니까 계좌 번호가 들어 왔더라니까요?,환불
264,네 일단 환불 처리는 됐으니까 통장에다가 입금을 해주고 나서 전화하라고 하더라고요.,결제
265,아니 그거 넣어 주고 전화하라고 했던거 같은데요? 내가 전화해 드릴게요.,결제
266,그런데 이거 냉장고에 안 넣어도 괜찮다고 하는데요?,배송
267,그런데 이게 원래 냉동 식품 아닌가요?,상품
268,네 그리고 오실 때 미리 전화를 좀 주시고요.,연락요청
269,포장 상태도 그렇고 저희 그냥 저기 반품 할게요.,교환반품
270,"네, 맞습니다. 그런데 제가 경비실에 맡겨도 될까요?",교환반품
271,어느 택배인지요?,배송
272,아니 아침에 내가 전화했을 때는 완료 되었다고 해놓고 지금 안 됐다는 거예요?,불만접수
273,그러면 통장에 입금은 언제 되는 거예요?,환불
274,환불이 완료 되면 문자로 넣어 줍니까?,환불
275,아 그러면 저 반품해 주세요.,교환반품
276,네 교환해서 만약에 또 소리가 나면 어떻게 해요.,교환반품
277,네 같은 회사 제품이니까 또 그럴수도 있을 것 같아서요.,교환반품
278,네 만약에 택배 회사에서 바로 됐으면 제가 교환해서 쓰고 싶은데 이렇게까지 계속 오래 걸리니까 그냥 반품해 주셨으면 좋겠어요.,교환반품
279,네 그러면 설날 지나고 되나요?,교환반품
280,그냥 반품을 해주세요.,교환반품
281,이게 지금 에이에스 한다고 잘 될지 모르겠어요. 혹시 반품 안될까요?,교환반품
282,아 그럼 내용물은 냉동 보관해놨다가 그때 오시면 포장해 드릴게요.,배송
283,네 문자 주세요. 그럼 오늘 안에 입금할게요.,결제
284,다른 걸 구해가지고 그러면 한 박스에 다 넣어도 되요?,포장
285,반품해주세요.,교환반품
286,아 그러면 그 거까지 받아 주셔야 해요. 반품 택배비도 있는 거예요.,환불
287,그냥 반품해주세요.,교환반품
288,네 그리고 제가 현금으로 입금을 했는데요.,결제
289,네 지금 불러드릴까요?,환불
290,신한 은행이고요. ㅇㅇㅇㅇ ㅇㅇㅇ ㅇㅇㅇㅇㅇㅇ이요.,환불
291,이전에 상품 하나가 품절 돼가지고 안 오는 거 그 환불이 됐습니까?,환불
292,예 오늘 환불은 그러면 연휴 지나고 들어오겠네요?,환불
293,근데 왜 배송이 완료됐다고 그랬죠?,배송
294,네 그냥 반품으로 해주세요.,교환반품
295,아 백오 사이즈 없어요?,상품
296,그럼 뭐 반품해야죠.,교환반품
297,"네, 알겠어요. 계좌 번호 다시 한번 확인해주시겠습니까?",환불
298,육개월짜리는 없나요?,상품
299,이개월로 하면 얼마고 사개월로 하면 얼마라고 했나요?,가격
300,이개월은요?,가격
301,네 그러면 사개월짜리 두 개 등록을 해주세요.,주문
302,그런데 주문 한번 더 확인 안 해주셔도 되나요?,주문
303,ㅇㅇㅇㅇ ㅇㅇㅇㅇ ㅇㅇㅇㅇ ㅇㅇㅇㅇ이요.,결제
304,카드 유효 기간이 몇 년 몇 월까지 이렇게 되는 거죠?,결제
305,아 ㅇㅇㅇㅇ이요.,결제
306,네 알겠습니다. 아 며칠 걸리나요?,배송
307,아 그럼 다른 사이즈도 없나요?,상품
308,아 그럼 이백사십오는 있을 거 아니에요? 없나요?,상품
309,"네, 그런데 이백사십오 하나도 없는 거에요?",상품
310,"네, 혹시 업체에 다시 확인해 주시면 안 될까요?",상품
311,아 그러면 이번에는 제대로 된 거 보내주는 거 맞나요?,상품
312,그런데 또 불량이되면 교환이 가능한가요?,교환반품
313,"네, 주문 번호 알려주세요.",주문
314,"네, ㅇㅇㅇ고객님이세요?",고객정보
315,"네, 교환 됩니까?",교환반품
316,그럼 반품 처리해 주세요.,교환반품
317,"네, 그런데 네이비도 없나요?",상품
318,"네, 근데 비밀번호가 왜 틀렸다고 나오죠?",고객정보
319,"예, 그럼 언제 배송이 되나요?",배송
320,네 그런데 제가 한 팩 썼거든요.,상품
321,"네, 혹시 어느 택배사인가요?",배송
322,예 새 거로 바꿔주는 거죠?,교환반품
323,그 솥 맨 밑에 있잖아요. 그게 못 뚫린 것처럼 그렇게 돼있더라고요.,교환반품
324,그래도 너무 오래 걸리는데요? 보냈는데 또 똑같은 제품이 온다면 어떻게 되는거죠?,불만접수
325,꼭 누가 받은 거 처럼 사용한 흔적이 있었거든요. 그래서 다른 사람 꺼 또 받아서 보내줄려고 이렇게 늦나 싶거든요.,상품
326,예 아니 근데 이거 물이 생겼는데 먹어도 상관 없나요?,상품
327,오늘 접수를 하면 오늘 오는 거 아닌가요?,교환반품
328,그럼 주문 취소 좀 해 주실래요?,취소
329,구매해 줬더니 자기네 회사에서 사이즈를 잘못 해놓고 너무 웃기네요 진짜.,불만접수
330,그러니까 상품을 그냥 비닐에다가 그 박스에 다 넣어 놔도 그때까지 괜찮겠어요?,상품
331,혹시라도 상품 수거가 안되면 어떻게 하죠?,교환반품
332,반품 가능해요?,교환반품
333,"아, 근데 제가 포장 박스를 버렸거든요.",포장
334,"네, 그런데 사람이 없는데 수거는 어떻게 해야하죠?",교환반품
335,"네, 그러면 수거할 때 전화를 주는 건가요?",교환반품
336,"네, 배송료는 따로 없는 건가요?",배송
337,잠깐만요. 혹시 언제 입금 되나요?,결제
338,네 ㅇㅇㅇㅇ ㅇㅇㅇ ㅇㅇㅇㅇㅇㅇ입니다.,환불
339,"아, 안 했습니다.",상품
340,아 그러면 전체 교환해주세요.,교환반품
341,예 오늘 아침에 받았는데 확인해 보니까 몇 개가 불량이어서요 바로 전화드렸어요.,교환반품
342,아 그럼 반품 처리할게요.,교환반품
343,왜요?,배송
344,그냥 반품 해도 됩니까?,교환반품
345,그럼 언제쯤 온다는 거에요? 지금 뭐하자는 거에요?,불만접수
346,배송은 되는 거 맞죠?,배송
347,아니 뭐 사은품이 온다고 하는데 올 생각도 없고 전화도 없고 문자도 없잖아요.,불만접수
348,아니 뭐 그게 중요한 거는 아니지만 온다고 했던 건데 너무 안 오니까 전화라도 줘도 되는 건데 내가 굳이 전화를 하게 만드는 거냐고요.,불만접수
349,아 그래요? 그럼 그때까지는 냉동 보관해 놓을게요.,배송
350,아 한 달간이라는 줄 알고 깜짝 놀랐지 뭐예요?,환불
351,회수는 박스에다가 해서 그거 어디다 놔둬야 돼요?,교환반품
352,네 그러면 언제 온다고 전화가 오는 거예요?,교환반품
353,아 그러면 사용을 안 했어요.,상품
354,동일한 카드로 해야 되나요?,결제
355,아 오늘 받았어요.,배송
356,"네, 그러면 배송료는 제가 물어야 되는 건가요?",배송
357,그럼 이거 안 보내줘도 돼요?,교환반품
358,"네, 반품 했잖아요.",교환반품
359,네 그건 잘못 주문한 거구요. 다시 두 개를 주문했거든요?,주문
360,"네, 방문 전에 연락 좀 주세요.",연락요청
361,네 물 빠짐이 있어서요.,교환반품
362,아 그럼 십일 이후에 가지러 오신다는 얘기죠?,교환반품
363,예 그리고 죄송한데 기사님한테 오기 전에 미리 저한테 전화 연락 좀 달라고 해주세요. ,연락요청
364,예 수거할때 연락 좀 부탁드릴게요. ,연락요청
365,설 지나고 오겠죠?,교환반품
366,일단은 그 주소로 배송한 거죠?,배송
367,원래 배송하면서 가져가는 건가요?,교환반품
368,"네, 그러면 십오만 팔천원 결제 한 건데 취소는 어떻게 되는 거에요?",취소
369,아 지금 카드 결제로 돈이 나갔을 텐데요?,결제
370,"네, 똑같은 걸로 주시면 되세요.",상품
371,아 원래 이런게 있는 건지 본사로 전화해서 물어보면 되는 거 아닌가요?,상품
372,오늘 내가 전화를 안 했으면 어쩔 뻔 했어요? 하도 안 와 갖고 내가 전화를 한 거예요.,배송
373,예 그러면 제가 카드로 결제 했잖아요?,결제
374,그럼 어떻게 되는 거예요?,환불
375,"네, 그 반품 택배비 확인됐다는거죠?",배송
376,"네, 그러면 언제 취소가 되는 거죠?",취소
377,아 그럼 오늘 신청을 넣어 주실 거죠? 오늘 좀 부탁합니다.,환불
378,"네, 그럼 반품 해주세요.",교환반품
379,"네, 택배 회사에서 수거할 때 전화 오나요?",교환반품
380,"네, 교환 되나요?",교환반품
381,회수 전에 연락 주시나요?,교환반품
382,아니 배송할 때 택배 회사에서 아무런 연락도 없이 그냥 갖다 놨더라고요?,배송
383,네 물건 배송할 때는 연락을 좀 주고 해야 되는 거 아닌가요?,연락요청
384,뭐 전화 번호 문자  안내 하나도 없이 그냥  주고 가면 되는건가요?,배송
385,"네, 교환 좀 하려고요.",교환반품
386,"네, 근데 혹시 남자 것도 있나요?",상품
387,저도 어느 정도면 말을 안하는데 이건 너무해요.,불만접수
388,"네, 이거는 도저히 못 먹는 거라고 꼭 전해주세요.",불만접수
389,배송비도 당연히 무료 맞죠?,배송
390,포장해놨다니까요?,포장
391,기사분 오면 드리면 되죠?,교환반품
392,일주일 안에는 올까요?,교환반품
393,어떤 상품이죠?,상품
394,ㅇㅇㅇ동 ㅇㅇㅇ호 맞나요?,고객정보
395,혹시 송장 번호 있나요?,배송
396,그럼 다음 주 안에는 오는 건가요?,배송
397,저는 명절 전 배송이라서 주문한 건데요?,배송
398,그럼 정확한 날짜를 알 수가 없어요?,배송
399,그러면 그냥 환불 처리해 주세요.,환불
400,예 그렇게 해주시면 언제 정도에 환불 요금이 들어 오나요?,환불
401,그러면 일월 십팔일 안으로는 환불 처리가 되는 거예요?,환불
402,환불은 어디로 해주시는 건가요?,환불
403,그런데 체크 카드로 결제했는데 그것도 바로 취소가 되는 건가요?,환불
404,"네, 교환 되나요?",교환반품
405,화이트도 없어요?,상품
406,아 그래요. 어제 통화할 때도 얘기 했었어요. 카드 취소한다고요.,결제
407,입금 확인되지 않아요?,결제
408,삼일 안에 온다고 홈쇼핑으로 방송했는데 열흘이 넘었잖아요.,배송
409,결제 카드가 삼성 카드로 되어 있나요?,결제
410,"네, 환불 얼마나 걸려요?",환불
411,예. 그렇게 많이 걸립니까?,결제
412,네. 택배 기사님 방문하기 전에 연락 주시는 거죠?,연락요청
413,ㅇㅇㅇㅇ ㅇㅇㅇㅇㅇㅇ ㅇㅇㅇㅇ ㅇㅇㅇㅇ 농협 은행이요.,환불
414,그러면  환불 가격이 거기서 한 팩 빼고 되는 겁니까?,환불
415,아니에요. 신발 사이즈가 조금 크더라고요.,교환반품
416,그러면 칠일 날 저녁에 가지러 오나요?,교환반품
417,그러면 환불 처리가 되면 그 카드로 다시 입금되는 거죠?,환불
418,그럼 카드 승인 취소가 되는 거네요?,결제
419,수수료가 있나요?,교환반품
420,"아, 그러면 다른 카드로 결제할게요.",결제
421,"네, 제가 포장만 하면 되는 건가요?",포장
422,아 그럼 언제 오는 지 모르나요?,교환반품
423,아 그럼 방문하기 전 연락을 좀 해주세요.,연락요청
424,"네, 알겠습니다. 아 그런데 박스는 없고 상품만 있는 데 어떻게 포장을 하죠?",포장
425,저번에 확인 다 했다 하고 이제 환불을 해주기로 했는데요?,환불
